SPN, Date, Formula, Base Rate, Rate, IBB, Accrued Interest, Version, Call Type
82086ACM,12/17/13,C,1.25,1.0,154182.5,1464.73,2013-12-17 19:14:29.204475,*ALL
82089ACM,12/17/13,D,1.25,1.0,247850.0,1858.88,2013-12-17 19:14:29.204475,*ALL
82092ACM,12/17/13,E,1.25,1.0,-421681.53,0.0,2013-12-17 19:14:29.204475,*ALL
82094ACM,12/17/13,F,1.25,1.0,1054201.76,12123.32,2013-12-17 19:14:29.204475,*ALL
82159AC ,12/17/13,A,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
82219ACM,12/17/13,B,1.25,1.0,895591.35,8508.12,2013-12-17 19:14:29.204475,*ALL
82222ACM,12/17/13,C,1.25,1.0,1001069.17,7508.02,2013-12-17 19:14:29.204475,*ALL
82223ACM,12/17/13,D,1.25,1.0,602700.0,6027.0,2013-12-17 19:14:29.204475,*ALL
82224ACM,12/17/13,E,1.25,1.0,313023.84,3599.77,2013-12-17 19:14:29.204475,*ALL
82229ACM,12/17/13,F,1.25,1.0,137.5,1.44,2013-12-17 19:14:29.204475,*ALL
82231ACM,12/17/13,A,1.25,1.0,333857.98,3171.65,2013-12-17 19:14:29.204475,*ALL
82232ACM,12/17/13,B,1.25,1.0,-686798.72,0.0,2013-12-17 19:14:29.204475,*ALL
82233ACM,12/17/13,C,1.25,1.0,-1688217.8,0.0,2013-12-17 19:14:29.204475,*ALL
82259ACM,12/17/13,D,1.25,1.0,5900.0,67.85,2013-12-17 19:14:29.204475,*ALL
82277AC ,12/17/13,E,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
82289AC ,12/17/13,F,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
82293AC ,12/17/13,A,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
82294ACM,12/17/13,B,1.25,1.0,1929966.44,19299.66,2013-12-17 19:14:29.204475,*ALL
82296ACM,12/17/13,C,1.25,1.0,103022.59,1184.76,2013-12-17 19:14:29.204475,*ALL
82306ACM,12/17/13,D,1.25,1.0,561700.0,5897.85,2013-12-17 19:14:29.204475,*ALL
82338ACM,12/17/13,E,1.25,1.0,152360.64,1447.43,2013-12-17 19:14:29.204475,*ALL
82362ACM,12/17/13,F,1.25,1.0,8158.44,61.19,2013-12-17 19:14:29.204475,*ALL
82364ACM,12/17/13,A,1.25,1.0,30937.44,309.37,2013-12-17 19:14:29.204475,*ALL
82384ACM,12/17/13,B,1.25,1.0,7738029.54,88987.34,2013-12-17 19:14:29.204475,*ALL
82396ACM,12/17/13,C,1.25,1.0,1344847.32,14120.9,2013-12-17 19:14:29.204475,*ALL
82404ACM,12/17/13,D,1.25,1.0,19764.0,187.76,2013-12-17 19:14:29.204475,*ALL
82407ACM,12/17/13,E,1.25,1.0,163404.82,1225.54,2013-12-17 19:14:29.204475,*ALL
82411ACM,12/17/13,F,1.25,1.0,5641006.08,56410.06,2013-12-17 19:14:29.204475,*ALL
82414AC ,12/17/13,A,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
82419ACM,12/17/13,B,1.25,1.0,-300270.3,0.0,2013-12-17 19:14:29.204475,*ALL
82423ACM,12/17/13,C,1.25,1.0,-65735.0,0.0,2013-12-17 19:14:29.204475,*ALL
82445ACM,12/17/13,D,1.25,1.0,100800.0,756.0,2013-12-17 19:14:29.204475,*ALL
82463ACM,12/17/13,E,1.25,1.0,5500.0,55.0,2013-12-17 19:14:29.204475,*ALL
82466ACM,12/17/13,F,1.25,1.0,105301.78,1210.97,2013-12-17 19:14:29.204475,*ALL
