"31251ACM","12-20-2013","GBP",-2580,1347826.3,1345246.3,49200,1345246.3,,
"31252ACM","12-20-2013","USD",-215,394793.94,394578.94,4100,394578.94,,
"31453ACM","12-20-2013","GBP",462240.59,267373.64,729614.23,623545,729614.23,,
"31456AC ","12-20-2013","USD",425040,6005513.02,6430553.02,86250,6344303.02,,
"31462ACM","12-20-2013","GBP",90123.91,566927.21,657051.12,131400,525651.12,,
"31468ACM","12-20-2013","USD",79616.22,535821.41,615437.63,116100,499337.63,,
"31502ACM","12-20-2013","GBP",-2053274.44,6227841.17,4174566.73,2427850,1746716.73,,
"31552ACM","12-20-2013","USD",11467.5,13102.5,24570,24600,-30,,
"31554ACM","12-20-2013","GBP",-2287.5,28537.5,26250,27000,-750,,
"31563ACM","12-20-2013","USD",-20775,6509.02,-14265.98,6200,-20465.98,,
"31564ACM","12-20-2013","GBP",3630,1327286.68,1330916.68,9000,1321916.68,,
"31589ACM","12-20-2013","USD",-852.5,9042.5,8190,8200,-10,,
"31593ACM","12-20-2013","GBP",-88802.58,649652.58,560850,303400,257450,,
"31626ACM","12-20-2013","USD",-2720,35440,32720,32800,-80,,
"31627ACM","12-20-2013","GBP",-680,8860,8180,8200,-20,,
"31644ACM","12-20-2013","USD",-192712.45,-2994.74,-195707.19,4473100,-4668807.19,,
"31646ACM","12-20-2013","GBP",-54872.5,-56520.84,-111393.34,282900,-394293.34,,
"31685ACN","12-20-2013","USD",-904812.53,-87274923.34,-88179735.87,5225897,-93405632.87,,
"31686ACN","12-20-2013","GBP",-17187.5,-1570187.51,-1587375.01,40000,-1627375.01,,
"31700ACN","12-20-2013","USD",-802309.11,-57813997.03,-58616306.14,9501063,-68117369.14,,
"31702ACN","12-20-2013","GBP",9178650.79,-324325543.3,-315146892.5,24163600,-339310492.5,,
"31704ACM","12-20-2013","USD",6573.4,11807599.24,11814172.64,0,11814172.64,,
"31721AC ","12-20-2013","GBP",224430.57,4048523.43,4272954,507191.58,3765762.42,,
"31725AC ","12-20-2013","USD",35268.92,1180350.57,1215619.49,262490,953129.49,,
"31727AC ","12-20-2013","GBP",-338950.47,1556907.08,1217956.61,337237,880719.61,,
"31729ACM","12-20-2013","USD",214200,2426894.72,2641094.72,388450,2252644.72,,
"31733AC ","12-20-2013","GBP",-60494,1091409.98,1030915.98,256788,774127.98,,
"31736ACM","12-20-2013","USD",-876160.73,964945.59,88784.86,1263040,-1174255.14,,
"31741AC ","12-20-2013","GBP",-14612.5,69854.57,55242.07,23200,32042.07,,
"31743AC ","12-20-2013","USD",-61887.5,209609.87,147722.37,31300,116422.37,,
"31752AC ","12-20-2013","GBP",59570.12,19229.88,78800,82050,-3250,,
"31754AC ","12-20-2013","USD",154386.67,49823.33,204210,212700,-8490,,
"31756AC ","12-20-2013","GBP",-6175,37050,30875,29250,1625,,
"31763AC ","12-20-2013","USD",3234.36,1143.75,4378.11,4425,-46.89,,
"31764AC ","12-20-2013","GBP",6468.72,2287.5,8756.22,8850,-93.78,,
"31766AC ","12-20-2013","USD",-571830,6206550,5634720,5641600,-6880,,
"31767AC ","12-20-2013","GBP",4089270.49,-1961310.49,2127960,2158800,-30840,,
"31769AC ","12-20-2013","USD",-19995,195865,175870,176300,-430,,
"31770AC ","12-20-2013","GBP",-39525,387175,347650,348500,-850,,
"31771AC ","12-20-2013","USD",-2325,22775,20450,20500,-50,,
"31772AC ","12-20-2013","GBP",-17850,75155,57305,57400,-95,,
"31773AC ","12-20-2013","USD",-42990,178070,135080,135300,-220,,
"31805AC ","12-20-2013","GBP",44593.5,378175,422768.5,443350,-20581.5,,
"31806AC ","12-20-2013","USD",45518.5,399668.86,445187.36,519350,-74162.64,,
"31824AC ","12-20-2013","GBP",12499.75,96953,109452.75,110625,-1172.25,,
"31834AC ","12-20-2013","USD",2023310,-505560,1517750,1397500,120250,,
"31838AC ","12-20-2013","GBP",-49179.64,759075.13,709895.49,60247,649648.49,,
"31839AC ","12-20-2013","USD",93118.7,448449.8,541568.5,566550,-24981.5,,
"31862AC ","12-20-2013","GBP",-5546.85,20453.15,14906.3,14750,156.3,,
"31887AC ","12-20-2013","USD",-151135,298851,147716,129616,18100,,
"31894AC ","12-20-2013","GBP",-6350.61,36465.61,30115,30550,-435,,
"31904ACM","12-20-2013","USD",57796.68,-48729.89,9066.79,66375,-57308.21,,
"31907AC ","12-20-2013","GBP",310834.89,-101543.6,209291.29,1575456,-1366164.71,,
"31908AC ","12-20-2013","USD",-175720,-331955.18,-507675.18,188600,-696275.18,,
"31912AC ","12-20-2013","GBP",36853.22,-3030.51,33822.71,50750,33822.71,,
"31913AC ","12-20-2013","USD",-36920,887311.52,850391.52,897000,-46608.48,,
"31914AC ","12-20-2013","GBP",-952411,867103.36,-85307.64,4717989,-4803296.64,,
"31915AC ","12-20-2013","USD",-637200,-1022818.6,-1660018.6,1103850,-2763868.6,,
"31916AC ","12-20-2013","GBP",1679760,1110882.1,2790642.1,3089365,-298722.9,,
"31919AC ","12-20-2013","USD",796698,39348.03,836046.03,2418184,-1582137.97,,
"31930AC ","12-20-2013","GBP",-2406093,3178369.77,772276.77,6937885,-6165608.23,,
"31931AC ","12-20-2013","USD",1238326,201038.79,1439364.79,4298970,-2859605.21,,
"31932AC ","12-20-2013","GBP",-642654,-465020.66,-1107674.66,3250909,-4358583.66,,
"31933AC ","12-20-2013","USD",171058,1562943.84,1734001.84,2441170,-707168.16,,
"31934AC ","12-20-2013","GBP",21652,-430505.3,-408853.3,124000,-532853.3,,
"31945AC ","12-20-2013","USD",-291620,432720,141100,147900,-6800,,
"31959ACM","12-20-2013","GBP",-872.5,19891.5,19019,19000,19,,
"31962ACM","12-20-2013","USD",52828.02,-317653.82,-264825.8,160650,-425475.8,,
"32004ACM","12-20-2013","GBP",-17527,118438.24,100911.24,65100,35811.24,,
"32041ACM","12-20-2013","USD",-363630,-4332300.59,-4695930.59,3820750,-8516680.59,,
"32055ACM","12-20-2013","GBP",131200,1290666.97,1421866.97,164000,1257866.97,,
"32062ACA","12-20-2013","USD",-600,49366.72,48766.72,3300,45466.72,,
"32063ACA","12-20-2013","GBP",208437.5,47522.88,255960.38,197110,58850.38,,
"32065ACA","12-20-2013","USD",21525,54601.99,76126.99,35992.5,40134.49,,
"32066ACA","12-20-2013","GBP",117912.5,251546.62,369459.12,125400,244059.12,,
"32071ACA","12-20-2013","USD",-173475,-35790.3,-209265.3,132128.5,-341393.8,,
"32072ACA","12-20-2013","GBP",9883550,8409104.53,18292654.53,10198200,8094454.53,,
"32073ACA","12-20-2013","USD",142725,323744.95,466469.95,226050,240419.95,,
"32074ACA","12-20-2013","GBP",484575,-489951.06,-5376.06,762300,-767676.06,,
"32077ACA","12-20-2013","USD",-87525,12191.5,-75333.5,120000,-195333.5,,
"32086ACA","12-20-2013","GBP",26250,-176.5,26073.5,145000,-118926.5,,
"32087ACA","12-20-2013","USD",-126450,23625.84,-102824.16,104400,-207224.16,,
"32094ACA","12-20-2013","GBP",-20125,-89265.16,-109390.16,139625,-249015.16,,
"32099ACA","12-20-2013","USD",-43250,-245973.6,-289223.6,134375,-423598.6,,
"32104ACM","12-20-2013","GBP",-1455,1131946.74,1130491.74,738200,392291.74,,
"32105ACA","12-20-2013","USD",-146875,-57359,-204234,165000,-369234,,
"32225AC ","12-20-2013","GBP",5059020,8472917.55,13531937.55,9152300,4379637.55,,
"32235ACA","12-20-2013","USD",10462.5,2079.48,12541.98,8250,4291.98,,
"32249AC ","12-20-2013","GBP",42375,261973.92,304348.92,150700,153648.92,,
"32250AC ","12-20-2013","USD",-47072.4,-203.48,-47275.88,282100,-329375.88,,
"32258ACM","12-20-2013","GBP",172125,-174516.39,-2391.39,225675,-2391.39,,
"32301ACM","12-20-2013","USD",-402802.5,1412547.67,1009745.17,653040,356705.17,,
"32303ACM","12-20-2013","GBP",145421.54,-166821.99,-21400.45,575250,-114078.84,,
"32312AC ","12-20-2013","USD",7530,-205.2,7324.8,0,7324.8,,
"3233DAC ","12-20-2013","GBP",-3400,21.16,-3378.84,206350,-209728.84,,
"32378ACM","12-20-2013","USD",-39415,418855,379440,229600,149840,,
"32379ACM","12-20-2013","GBP",205908.3,1575215.61,1781123.91,1754662,26461.91,,
"32389ACM","12-20-2013","USD",-742580,3007760.27,2265180.27,1211350,1053830.27,,
"32520ACM","12-20-2013","GBP",68118.4,3558113.63,3626232.03,390860,3235372.03,,
"32525AC ","12-20-2013","USD",244037.5,-19936402.26,-19692364.76,1421000,-21113364.76,,
"32526AC ","12-20-2013","GBP",-277740,14681935.3,14404195.3,1006500,13397695.3,,
"32529AC ","12-20-2013","USD",-157150,-46320118,-46477268,556840,-47034108,,
"32538AC ","12-20-2013","GBP",-1148650,-2251200,-3399850,1071000,-4470850,,
"32542AC ","12-20-2013","USD",315812.5,1064412.25,1380224.75,404092,976132.75,,
"32543AC ","12-20-2013","GBP",837210,8467839,9305049,2617368,6687681,,
"32545AC ","12-20-2013","USD",-192375,-4026456.25,-4218831.25,0,-4218831.25,,
"32547AC ","12-20-2013","GBP",527460,-16416880,-15889420,636750,-16526170,,
"32582AC ","12-20-2013","USD",-136340,40914539.28,40778199.28,507500,40270699.28,,
"32628AC ","12-20-2013","GBP",-5900947.5,-62120141.5,-68021089,0,-68021089,,
"32630ACM","12-20-2013","USD",-3958212.5,9037658.19,5079445.69,3744755,1334690.69,,
"32637ACM","12-20-2013","GBP",-595900,1118482.95,522582.95,216525,306057.95,,
"32654ACM","12-20-2013","USD",232030.8,608025.66,840056.46,265500,574556.46,,
"32655ACM","12-20-2013","GBP",-495,-931996.13,-932491.13,270600,-1203091.13,,
"32656ACM","12-20-2013","USD",-195,-323251.17,-323446.17,106600,-430046.17,,
"32657ACM","12-20-2013","GBP",-170144.36,-54039.93,-224184.29,224525,-448709.29,,
"32661ACM","12-20-2013","USD",7150,3138163.33,3145313.33,41000,3104313.33,,
"32671ACM","12-20-2013","GBP",76069.63,121001.79,197071.42,134225,62846.42,,
"32686ACM","12-20-2013","USD",1945,7164.97,9109.97,8200,909.97,,
"32687ACM","12-20-2013","GBP",972.5,9874.47,10846.97,4100,6746.97,,
"32688ACA","12-20-2013","USD",786973.89,5403070.13,6190044.02,4587884,1602160.02,,
"32693ACA","12-20-2013","GBP",14859.33,31199.97,46059.3,46200,-140.7,,
"32695AC ","12-20-2013","USD",-2035,47980.63,45945.63,86100,-40154.37,,
"32708ACM","12-20-2013","GBP",-30000,102300.16,72300.16,47200,25100.16,,
"32712ACM","12-20-2013","USD",28090,678916,707006,63000,644006,,
"32713ACM","12-20-2013","GBP",-27900,609883,581983,63000,518983,,
"32716ACM","12-20-2013","USD",19549825,154136230,173686055,174822480,-1136425,,
"32786ACM","12-20-2013","GBP",211442.5,1011679.63,1223122.13,385400,837722.13,,
"32788ACM","12-20-2013","USD",-23317.5,772656.05,749338.55,260000,489338.55,,
"33092AC ","12-20-2013","GBP",-37.5,568212.5,568175,0,568175,,
"33093AC ","12-20-2013","USD",-898087.5,-5923887.5,-6821975,820750,-7642725,,
